"ID","MonthlyIncome"
871,5704
872,2623
873,12997
874,2438
875,2841
876,4117
877,5257
878,2348
879,3112
880,13733
881,10508
882,2508
883,5647
884,5397
885,5824
886,5350
887,5782
888,5088
889,4797
890,2602
891,5098
892,8834
893,8609
894,5669
895,10885
896,9071
897,8583
898,16377
899,5621
900,2585
901,2596
902,5052
903,6057
904,2604
905,16658
906,5367
907,9423
908,5836
909,2826
910,2462
911,19180
912,2898
913,2619
914,12699
915,5580
916,5316
917,2737
918,5310
919,2444
920,2929
921,2325
922,2726
923,4854
924,3965
925,14887
926,2891
927,5579
928,12994
929,2168
930,2699
931,5972
932,12327
933,8633
934,2552
935,2271
936,2369
937,9385
938,9755
939,4421
940,2446
941,2794
942,9074
943,10916
944,5502
945,2249
946,5595
947,2111
948,2790
949,2496
950,5477
951,2592
952,5342
953,5327
954,2793
955,4433
956,7681
957,12197
958,2566
959,10208
960,19291
961,2700
962,5462
963,5486
964,4333
965,2713
966,19449
967,2578
968,8492
969,16125
970,2900
971,5557
972,5592
973,2560
974,2496
975,5641
976,2696
977,5753
978,2566
979,9510
980,19217
981,2823
982,9369
983,2835
984,2640
985,5722
986,2602
987,2609
988,5167
989,9884
990,2403
991,4737
992,2590
993,4792
994,5515
995,4762
996,4715
997,2794
998,16526
999,9001
1000,2350
1001,4313
1002,5461
1003,5186
1004,6550
1005,3195
1006,5633
1007,2479
1008,5668
1009,19307
1010,4940
1011,9261
1012,5133
1013,5794
1014,4334
1015,5325
1016,2720
1017,2433
1018,8279
1019,9134
1020,1588
1021,5480
1022,4895
1023,5372
1024,10526
1025,16118
1026,18566
1027,4633
1028,5453
1029,5305
1030,7471
1031,5221
1032,2474
1033,11874
1034,2280
1035,4372
1036,2676
1037,5512
1038,7418
1039,12315
1040,5624
1041,2346
1042,2952
1043,8562
1044,6233
1045,2392
1046,2596
1047,5581
1048,12063
1049,2608
1050,5508
1051,10338
1052,2522
1053,5936
1054,2825
1055,2567
1056,2544
1057,5296
1058,16420
1059,4113
1060,3082
1061,4794
1062,5423
1063,5876
1064,2194
1065,5346
1066,2549
1067,3934
1068,18786
1069,5134
1070,2212
1071,2692
1072,5834
1073,2247
1074,5417
1075,5515
1076,16525
1077,19147
1078,4528
1079,4955
1080,4246
1081,3149
1082,2381
1083,2169
1084,5798
1085,8354
1086,9532
1087,5511
1088,2275
1089,2710
1090,5133
1091,5212
1092,5551
1093,11951
1094,5137
1095,5097
1096,5459
1097,3664
1098,2460
1099,2743
1100,5554
1101,19150
1102,5553
1103,5895
1104,11566
1105,2605
1106,2610
1107,3064
1108,5014
1109,5591
1110,5387
1111,5430
1112,12675
1113,12888
1114,5839
1115,10229
1116,2917
1117,6527
1118,4779
1119,10182
1120,2313
1121,9555
1122,16732
1123,5124
1124,16640
1125,2715
1126,2148
1127,2745
1128,5173
1129,16191
1130,2294
1131,12220
1132,16233
1133,5603
1134,2175
1135,2756
1136,2321
1137,2810
1138,5602
1139,9078
1140,16843
1141,5961
1142,5612
1143,10645
1144,5332
1145,3605
1146,5294
1147,5137
1148,2380
1149,2625
1150,5410
1151,2481
1152,5471
1153,4314
1154,2847
1155,5977
1156,12595
1157,2215
1158,4617
1159,2281
1160,5265
1161,2895
1162,8411
1163,2497
1164,8964
1165,2847
1166,2134
1167,9459
1168,5541
1169,2743
1170,2581
